@relation fitness_decision_mining

@attribute region {Africa,Asia,Europe,North_America,Oceania,South_America}
@attribute year numeric
@attribute fitness_participation_rate numeric
@attribute gym_penetration_rate numeric
@attribute urban_population_percentage numeric
@attribute obesity_rate numeric
@attribute gdp_per_capita_usd numeric
@attribute average_membership_cost_usd numeric
@attribute insufficient_physical_activity_pct numeric
@attribute membership_growth_pct numeric
@attribute participation_change numeric
@attribute inactivity_change numeric
@attribute members_per_gym numeric
@attribute revenue_per_member numeric
@attribute decision_priority {Affordable_Access_Action,Balanced_Maintenance,Capacity_Expansion,Health_Risk_Intervention,Premium_Retention}

@data
Europe,2000.000000,0.357700,0.016100,0.416100,0.126100,1160.420500,6.220000,0.203100,0.000000,0.000000,0.000000,569.919540,74.639695,Balanced_Maintenance
Europe,2001.000000,0.360800,0.018200,0.423500,0.130600,1326.416500,6.320000,0.203500,12.195712,0.003100,0.000400,598.172043,75.839709,Capacity_Expansion
Europe,2002.000000,0.364100,0.020300,0.431500,0.135200,1479.838800,6.420000,0.203900,11.154054,0.003300,0.000400,618.350000,77.040171,Capacity_Expansion
Europe,2003.000000,0.367700,0.024500,0.440300,0.140000,1908.699000,6.680000,0.204500,20.475459,0.003600,0.000600,671.135135,80.159754,Capacity_Expansion
Europe,2004.000000,0.371500,0.029300,0.449800,0.145000,2446.909500,7.020000,0.205100,18.925848,0.003800,0.000600,720.284553,84.239822,Capacity_Expansion
Europe,2005.000000,0.375600,0.032500,0.459900,0.150100,2741.721400,7.200000,0.205900,10.642813,0.004100,0.000800,742.606061,86.399892,Capacity_Expansion
Europe,2006.000000,0.379800,0.036100,0.470700,0.155400,3057.772600,7.400000,0.206800,10.278095,0.004200,0.000900,766.659574,88.799869,Balanced_Maintenance
Europe,2007.000000,0.384300,0.041800,0.482000,0.160900,3743.055300,7.820000,0.207900,14.737417,0.004500,0.001100,805.389610,93.840248,Capacity_Expansion
Europe,2008.000000,0.388800,0.047700,0.493900,0.166600,4498.504900,8.290000,0.209100,13.340321,0.004500,0.001200,841.772455,99.479748,Capacity_Expansion
Europe,2009.000000,0.393500,0.049000,0.506100,0.172400,4213.650100,8.110000,0.210500,2.134788,0.004700,0.001400,829.924855,97.319877,Balanced_Maintenance
Europe,2010.000000,0.398200,0.051500,0.518800,0.178300,4149.144700,8.070000,0.212000,4.456842,0.004700,0.001500,824.043956,96.840254,Balanced_Maintenance
Europe,2011.000000,0.403500,0.056100,0.532900,0.184400,4465.709100,8.270000,0.213700,8.616712,0.005300,0.001700,839.685567,99.240100,Balanced_Maintenance
Europe,2012.000000,0.405000,0.057600,0.538600,0.190600,4280.933200,8.150000,0.215500,1.220388,0.001500,0.001800,832.762626,97.799960,Balanced_Maintenance
Europe,2013.000000,0.405800,0.061500,0.543000,0.197000,4542.929000,8.320000,0.217500,5.105315,0.000800,0.002000,845.390244,99.840287,Balanced_Maintenance
Europe,2014.000000,0.406600,0.065300,0.547300,0.203600,4793.597500,8.470000,0.219700,4.550936,0.000800,0.002200,854.679245,101.640106,Balanced_Maintenance
Europe,2015.000000,0.407100,0.064200,0.551600,0.210500,4199.539100,8.100000,0.222100,-3.258422,0.000500,0.002400,826.830189,97.200213,Balanced_Maintenance
Europe,2016.000000,0.407600,0.067900,0.555700,0.217600,4457.634100,8.260000,0.224600,4.205080,0.000500,0.002500,841.746544,99.120125,Balanced_Maintenance
Europe,2017.000000,0.407900,0.073200,0.559800,0.225100,5006.360100,8.600000,0.227300,6.166135,0.000300,0.002700,861.875556,103.200189,Balanced_Maintenance
Europe,2018.000000,0.408100,0.080000,0.563800,0.232800,5897.654500,9.160000,0.230100,7.623684,0.000200,0.002800,895.733906,109.920194,Balanced_Maintenance
Europe,2019.000000,0.408200,0.082800,0.567600,0.240700,6069.439000,9.260000,0.233100,1.864824,0.000100,0.003000,900.838983,111.119771,Balanced_Maintenance
Europe,2020.000000,0.408100,0.065700,0.571400,0.248800,6027.913500,9.240000,0.236200,-21.812999,-0.000100,0.003100,898.508108,110.879801,Balanced_Maintenance
Europe,2021.000000,0.407900,0.082600,0.575100,0.257300,7242.455100,9.990000,0.239400,23.683102,-0.000200,0.003200,934.504545,119.880082,Balanced_Maintenance
Europe,2022.000000,0.407600,0.091700,0.578600,0.265800,7756.961900,10.310000,0.242800,9.300504,-0.000300,0.003400,948.151899,123.720175,Balanced_Maintenance
Europe,2023.000000,0.409000,0.104800,0.582100,0.265800,9730.869200,11.530000,0.242800,12.551622,0.001400,0.000000,995.736220,138.360043,Balanced_Maintenance
Europe,2024.000000,0.410400,0.111800,0.585500,0.265800,11377.775700,12.550000,0.242800,5.039993,0.001400,0.000000,1025.729730,150.599833,Balanced_Maintenance
Europe,2025.000000,0.410400,0.112700,0.585500,0.265800,11377.775700,12.550000,0.242800,0.868014,0.000000,0.000000,1026.704981,150.600000,Balanced_Maintenance
Europe,2026.000000,0.410400,0.113600,0.585500,0.265800,11377.775700,12.550000,0.242800,0.737023,0.000000,0.000000,1026.406844,150.599796,Balanced_Maintenance
Africa,2000.000000,0.418000,0.009900,0.598500,0.119100,1772.928700,5.000000,0.238900,0.000000,0.000000,0.000000,588.378378,59.999925,Balanced_Maintenance
Africa,2001.000000,0.420300,0.010600,0.606200,0.123200,1896.300200,5.000000,0.240500,8.645252,0.002300,0.001600,599.871377,60.000042,Balanced_Maintenance
Africa,2002.000000,0.422600,0.011100,0.613800,0.127500,1937.464100,5.000000,0.242100,6.441296,0.002300,0.001600,603.523973,60.000043,Balanced_Maintenance
Africa,2003.000000,0.424800,0.012500,0.621400,0.131900,2283.773000,5.000000,0.243800,14.111185,0.002200,0.001700,633.376378,60.000027,Capacity_Expansion
Africa,2004.000000,0.427000,0.014300,0.629000,0.136400,2816.993800,5.000000,0.245600,16.304321,0.002200,0.001800,670.156160,60.000004,Capacity_Expansion
Africa,2005.000000,0.429100,0.015900,0.636600,0.140900,3233.133400,5.000000,0.247400,12.600023,0.002100,0.001800,694.865435,59.999973,Capacity_Expansion
Africa,2006.000000,0.431100,0.017500,0.644200,0.145600,3660.661000,5.050000,0.249300,12.020892,0.002000,0.001900,716.917375,60.599994,Capacity_Expansion
Africa,2007.000000,0.433100,0.019400,0.651700,0.150400,4167.451700,5.250000,0.251300,12.351383,0.002000,0.002000,739.842634,62.999968,Capacity_Expansion
Africa,2008.000000,0.434900,0.022100,0.659000,0.155400,5180.918800,5.660000,0.253300,16.127947,0.001800,0.002000,778.373104,67.919960,Capacity_Expansion
Africa,2009.000000,0.436200,0.021500,0.665100,0.160600,4235.429900,5.280000,0.255400,-0.900611,0.001300,0.002100,742.821811,63.360039,Balanced_Maintenance
Africa,2010.000000,0.437400,0.023800,0.671200,0.166000,4912.785900,5.550000,0.257600,13.088593,0.001200,0.002200,768.919786,66.599999,Capacity_Expansion
Africa,2011.000000,0.438500,0.026700,0.677300,0.171600,5916.313600,5.960000,0.259900,14.254667,0.001100,0.002300,802.039870,71.519971,Capacity_Expansion
Africa,2012.000000,0.439600,0.028100,0.683400,0.177400,6033.648800,6.010000,0.262300,7.371562,0.001100,0.002400,805.455860,72.120003,Balanced_Maintenance
Africa,2013.000000,0.440500,0.029200,0.689500,0.183500,5979.601400,5.980000,0.264800,6.077276,0.000900,0.002500,803.642806,71.759991,Balanced_Maintenance
Africa,2014.000000,0.441400,0.030600,0.695500,0.189800,6094.693900,6.030000,0.267400,6.871716,0.000900,0.002600,806.884331,72.359979,Balanced_Maintenance
Africa,2015.000000,0.442100,0.028900,0.701400,0.196400,4685.059000,5.460000,0.270100,-3.705253,0.000700,0.002700,760.618828,65.519998,Balanced_Maintenance
Africa,2016.000000,0.442800,0.029200,0.707400,0.203200,4424.985300,5.360000,0.273000,3.354308,0.000700,0.002900,750.084799,64.320020,Balanced_Maintenance
Africa,2017.000000,0.443400,0.030500,0.713200,0.209900,4554.667500,5.410000,0.275800,6.377168,0.000600,0.002800,755.224138,64.919984,Balanced_Maintenance
Africa,2018.000000,0.444000,0.031400,0.719100,0.216500,4577.210300,5.420000,0.278600,5.020834,0.000600,0.002800,756.273243,65.039993,Balanced_Maintenance
Africa,2019.000000,0.444600,0.031900,0.724800,0.223000,4468.453400,5.380000,0.281400,3.504249,0.000600,0.002800,752.077887,64.559980,Balanced_Maintenance
Africa,2020.000000,0.445000,0.023800,0.730500,0.229500,3743.542000,5.080000,0.284300,-24.111195,0.000400,0.002900,720.690509,60.959982,Balanced_Maintenance
Africa,2021.000000,0.445400,0.029200,0.736200,0.236000,4160.559300,5.250000,0.287300,24.519603,0.000400,0.003000,739.275354,62.999988,Capacity_Expansion
Africa,2022.000000,0.445600,0.033800,0.741800,0.242500,4960.303300,5.570000,0.290400,17.648628,0.000200,0.003100,770.634538,66.839990,Capacity_Expansion
Africa,2023.000000,0.447800,0.036800,0.747300,0.242500,5370.477200,5.740000,0.290400,10.616545,0.002200,0.000000,784.694547,68.879989,Capacity_Expansion
